"netease_id","qq_id","name","artist","album","ne_name","ne_artist","qq_name","qq_artist","match_source","synced"
"36025996","612639778","半道英雄(全职高手填词)","群星","热门华语275","半道英雄(全职高手填词)","群星","","","manual","1"
"36871044","104855499","クリスマスソング","back number","クリスマスソング","クリスマスソング","back number","","","manual","1"
"36992901","232222090","50 Ways to Say Goodbye","Train","The Collection","50 Ways to Say Goodbye","Train","50 Ways to Say Goodbye","Train","manual","1"
"38358233","233664617","Angel","手嶌葵","I Love Cinemas - Premium Edition","Angel","手嶌葵","","","manual","1"
"3879508","293434","Back In Black","AC/DC","Iron Man 2","Back In Black","AC/DC","Back In Black","AC/DC","manual","1"
"3935139","5192759","Breath and Life","Audiomachine","The Platinum Series III: Eterna","Breath and Life","Audiomachine","","","manual","1"
"3986017","2166066","Viva La Vida","Coldplay","Viva La Vida or Death and All His Friends","Viva La Vida","Coldplay","Viva La Vida","Coldplay","manual","1"
"399249","268357502","一笑懸命","遊助","一笑懸命 / イナヅマ侍","一笑懸命","遊助","","","manual","1"
"405597568","105519195","山外小楼夜听雨","任然","从小到大","山外小楼夜听雨","任然","山外小楼夜听雨","任然","manual","1"
"406037684","105671604","さくらのうた","高橋優","さくらのうた","さくらのうた","高橋優","さくらのうた","高桥优","manual","1"
"406347677","245584372","英雄","doa","ウルトラマンシリーズ放送開始50年 ウルトラマン主題歌大全集 1966-2016","英雄","doa","英雄","doa","manual","1"
"406475394","105645505","Wonderful U (Demo Version)","AGA","Ginadoll","Wonderful U (Demo Version)","AGA","","","manual","1"
"407679411","216865760","Lancelot","Me And My Drummer","Love Is a Fridge","Lancelot","Me And My Drummer","","","manual","1"
"410802193","123848950","Hybrid Worlds","英雄联盟","Season 3 World Championship Theme","Hybrid Worlds","英雄联盟","","","manual","1"
"411496","103169878","Clear Mind","遠藤正明","遊☆戯☆王5D’sオープニングテーマ::BELIEVE IN NEXUS","Clear Mind","遠藤正明","Clear Mind","遠藤正明","manual","1"
"415086571","245145706","奸雄","贰婶","奸雄","奸雄","贰婶","","","manual","1"
"4153366","232353119","Numb","Linkin Park","Numb","Numb","Linkin Park","","","manual","1"
"416388799","107870320","明月天涯","五音Jw","明月天涯","明月天涯","五音Jw","極楽浄土","GARNiDELiA","manual","1"
"41654827","226874460","[A]ddiction","EVO+","EVOLUTION","[A]ddiction","EVO+","","","manual","1"
"41654975","105578699","Floating Heart","内田彩","Sweet Tears","Floating Heart","内田彩","Floating Heart","内田彩","manual","1"
"425137440","108750221","ロック风アレンジ","麻枝准","ロック风アレンジ","ロック风アレンジ","麻枝准","","","manual","1"
